client reference no,balance,status,consumer name,consumer address,ssn
ffeb5d88-e5af-45f0-9637-16ea469c58c0,59638.99,INACTIVE,Jessica Williams,"0233 Edwards Glens
Allisonhaven, HI 91491",018-79-4253
6155ee11-6eb5-4005-abc7-df2fe6c099ea,59464.79,PAID_IN_FULL,Christopher Harrison,"6791 Chang Mountain
Port Jamiehaven, UT 24171",511-96-5364
d984a3b4-d331-4857-8e6f-b44bad2567aa,48598.63,IN_COLLECTION,Peter Nichols,"USNS Smith
FPO AP 59558",648-08-4523
dd9abec8-4c38-4b3a-9f7e-c881aba27531,89249.39,INACTIVE,Heather Lambert,"616 Miller Heights Suite 268
North Josephview, UT 90983",130-57-9448
6155ee11-6eb5-4005-abc7-df2fe6c099ea,59464.79,PAID_IN_FULL,Lisa Green,"2162 Claire Ford
Jenniferville, IN 69071",407-95-8390
553efdb3-2baf-4c2a-88e2-7417d6bb0409,53670.34,PAID_IN_FULL,Heather Lambert,"616 Miller Heights Suite 268
North Josephview, UT 90983",130-57-9448
dff3b2fe-ce65-4e00-9655-6fa548d2aa8f,33087.13,INACTIVE,Jessica Williams,"0233 Edwards Glens
Allisonhaven, HI 91491",018-79-4253
ca0766c5-e94c-4687-a0e7-4ad23084250a,22985.96,INACTIVE,Mark Henson,"780 Sean Brook
North Christophershire, AR 30586",031-62-9960
a8ef8e45-b656-441b-b0b1-e038176192f2,33230.96,IN_COLLECTION,Rebecca Garner,"07797 Rebecca Hills
Garzamouth, MA 77395",541-73-2765
efab8b07-caf6-465b-854b-aae979e3947e,29239.55,IN_COLLECTION,Mark Henson,"780 Sean Brook
North Christophershire, AR 30586",031-62-9960
d984a3b4-d331-4857-8e6f-b44bad2567aa,48598.63,IN_COLLECTION,Andrew Wright,"82330 Ryan Hills Apt. 023
Nguyenview, IA 06364",281-02-5764
0cc7d944-9d3e-408e-a627-ec502dc684a5,56839.01,PAID_IN_FULL,Peter Nichols,"USNS Smith
FPO AP 59558",648-08-4523
d984a3b4-d331-4857-8e6f-b44bad2567aa,48598.63,IN_COLLECTION,Billy Pace,"568 Dillon Estate Apt. 424
Jonesberg, SC 88181",449-79-1370
03759711-89b9-40b8-9f2d-a3821c0779f2,11082.68,IN_COLLECTION,Gregory Marks,"PSC 0156, Box 4223
APO AA 18544",185-47-4236
efab8b07-caf6-465b-854b-aae979e3947e,29239.55,IN_COLLECTION,Wendy Cole,"64140 Alexa Harbor
East Ariana, WV 85314",830-73-3304
efab8b07-caf6-465b-854b-aae979e3947e,29239.55,IN_COLLECTION,Jeremy Thompson,"3246 Michael Gateway Apt. 917
New Kyle, AZ 90819",436-98-1892
